topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Reading,Education & Literacy,Rimberio Co,ocr,success,RIMBERIO CO | UNIVERSITY,EAGCxiRhjjM,Black and Blue Simple Monoline University Student Logo,https://www.canva.com/templates/EAGCxiRhjjM-black-and-blue-simple-monoline-university-student-logo/,https://template.canva.com/EAGCxiRhjjM/1/0/800w-JPE4QdA35H8.jpg,true,0020_EAGCxiRhjjM.jpg,reading/images/0020_EAGCxiRhjjM.jpg,2026-08-06T09:59:12.836Z
Reading,Education & Literacy,Books & Mora,ocr,success,BOOKS & MORA | BOOK STORE,EAGXs9f2cpc,Black and Cream Book Store Logo,https://www.canva.com/templates/EAGXs9f2cpc-black-and-cream-book-store-logo/,https://template.canva.com/EAGXs9f2cpc/1/0/800w-rtre_k_gFI4.jpg,true,0034_EAGXs9f2cpc.jpg,reading/images/0034_EAGXs9f2cpc.jpg,2026-08-06T09:59:22.435Z
Reading,Education & Literacy,Ebookph,ocr,success,EBOOKPH,EAF7-MWfmuA,Black and White Modern Education Logo,https://www.canva.com/templates/EAF7-MWfmuA-black-and-white-modern-education-logo/,https://template.canva.com/EAF7-MWfmuA/2/0/800w-veJbM6Kv-n0.jpg,true,0007_EAF7-MWfmuA.jpg,reading/images/0007_EAF7-MWfmuA.jpg,2026-08-06T09:58:56.295Z
Reading,Education & Literacy,Book,ocr,success,BOOK | STORE,EAGsKXrl0sA,Black Gold Simple Book Store Logo,https://www.canva.com/templates/EAGsKXrl0sA-black-gold-simple-book-store-logo/,https://template.canva.com/EAGsKXrl0sA/1/0/800w-jAs9gmS0hCo.jpg,false,0022_EAGsKXrl0sA.jpg,reading/images/0022_EAGsKXrl0sA.jpg,2026-08-06T09:59:13.103Z
Reading,Education & Literacy,Modern Book,ocr,success,MODERN BOOK | SCHOOL & EDUCATION,EAFMQhW9juA,Black Gray Minimalist Modern Book Logo,https://www.canva.com/templates/EAFMQhW9juA-black-gray-minimalist-modern-book-logo/,https://template.canva.com/EAFMQhW9juA/1/0/800w-f1lut5QQ5zg.jpg,true,0017_EAFMQhW9juA.jpg,reading/images/0017_EAFMQhW9juA.jpg,2026-08-06T09:59:05.418Z
Reading,Graphic Design & Creative Services,Blackbook,ocr,success,BLACKBOOK | BOOK STORE,EAFKYxII6nI,Black White Elegant Book Illustration Book Store Logo,https://www.canva.com/templates/EAFKYxII6nI-black-white-elegant-book-illustration-book-store-logo/,https://template.canva.com/EAFKYxII6nI/1/0/800w-f4KIFAkt4TI.jpg,true,0037_EAFKYxII6nI.jpg,reading/images/0037_EAFKYxII6nI.jpg,2026-08-06T09:59:28.324Z
Reading,Education & Literacy,Borcelle,ocr,success,Borcelle | Online Book Store,EAGwhUmizes,Blue and Yellow Playful Book Store Logo,https://www.canva.com/templates/EAGwhUmizes-blue-and-yellow-playful-book-store-logo/,https://template.canva.com/EAGwhUmizes/1/0/800w-0hnuzsFacTc.jpg,false,0033_EAGwhUmizes.jpg,reading/images/0033_EAGwhUmizes.jpg,2026-08-06T09:59:22.288Z
Reading,Graphic Design & Creative Services,Literatureos,ocr,success,LITERATUREOS | BOOK STORE -,EAFKYZn0kMI,Blue Gold Luxury Book Pen Illustration Book Store Logo,https://www.canva.com/templates/EAFKYZn0kMI-blue-gold-luxury-book-pen-illustration-book-store-logo/,https://template.canva.com/EAFKYZn0kMI/1/0/800w-opPePtoHdV0.jpg,true,0010_EAFKYZn0kMI.jpg,reading/images/0010_EAFKYZn0kMI.jpg,2026-08-06T09:59:04.464Z
Reading,Education & Literacy,Book Store,ocr,success,BOOK STORE | ESTD 1936,EAGHDV-y6Uo,Blue Illustrative Mascot Book Store Education Logo,https://www.canva.com/templates/EAGHDV-y6Uo-blue-illustrative-mascot-book-store-education-logo/,https://template.canva.com/EAGHDV-y6Uo/2/0/800w-EuZafJwvDCQ.jpg,true,0035_EAGHDV-y6Uo.jpg,reading/images/0035_EAGHDV-y6Uo.jpg,2026-08-06T09:59:22.588Z
Reading,Education & Literacy,See-Book,ocr,success,SEE-BOOK,EAFO4sb7QNs,blue minimalist e-book logo design,https://www.canva.com/templates/EAFO4sb7QNs-blue-minimalist-e-book-logo-design/,https://template.canva.com/EAFO4sb7QNs/1/0/800w-UUMnCQyzv5M.jpg,true,0031_EAFO4sb7QNs.jpg,reading/images/0031_EAFO4sb7QNs.jpg,2026-08-06T09:59:22.009Z
