topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Digital Media,Music & Entertainment,Light Filmstrip,ocr,success,LIGHT FILMSTRIP | Entertainment film Distributors.,EAErf1MkZKg,Black and White Filmstrip Logo,https://www.canva.com/templates/EAErf1MkZKg-black-and-white-filmstrip-logo/,https://template.canva.com/EAErf1MkZKg/1/0/800w-TviPEwLt2Js.jpg,true,0022_EAErf1MkZKg.jpg,digital-media/images/0022_EAErf1MkZKg.jpg,2026-08-06T10:04:19.004Z
Digital Media,Graphic Design & Creative Services,Cobranious,ocr,success,COBRANIOUS | Entertainment Film Distributors -,EAEq6vTz2rE,Black Film Company Illustration Vintage Logo,https://www.canva.com/templates/EAEq6vTz2rE-black-film-company-illustration-vintage-logo/,https://template.canva.com/EAEq6vTz2rE/1/0/800w-fooTWeTWL6k.jpg,true,0019_EAEq6vTz2rE.jpg,digital-media/images/0019_EAEq6vTz2rE.jpg,2026-08-06T10:04:18.323Z
Digital Media,Music & Entertainment,Filmworks,ocr,success,FILMWORKS | MOVIE PRODUCTION,EAE5rnPhgTk,Black Green Doodle Video Camera for Movie Cinema Production Logo,https://www.canva.com/templates/EAE5rnPhgTk-black-green-doodle-video-camera-for-movie-cinema-production-logo/,https://template.canva.com/EAE5rnPhgTk/1/0/800w-HiZ9rIkFW3s.jpg,true,0008_EAE5rnPhgTk.jpg,digital-media/images/0008_EAE5rnPhgTk.jpg,2026-08-06T10:03:58.609Z
Digital Media,Music & Entertainment,Filmmaker,ocr,success,FILMMAKER | MOVIE PRODUCTION,EAE5rhLzv9s,Black Retro Line art Video Camera for Movie Cinema Production Logo,https://www.canva.com/templates/EAE5rhLzv9s-black-retro-line-art-video-camera-for-movie-cinema-production-logo/,https://template.canva.com/EAE5rhLzv9s/1/0/800w-813WqMp_7VE.jpg,true,0010_EAE5rhLzv9s.jpg,digital-media/images/0010_EAE5rhLzv9s.jpg,2026-08-06T10:04:09.140Z
Digital Media,Music & Entertainment,Filmworks,ocr,success,ESTD | 2022 | FILMWORKS | MOVIE PRODUCTION,EAE5rVG9YLM,Black Vintage Old Video Camera for Movie Cinema Production Logo,https://www.canva.com/templates/EAE5rVG9YLM-black-vintage-old-video-camera-for-movie-cinema-production-logo/,https://template.canva.com/EAE5rVG9YLM/1/0/800w-SqtSzqpFgrQ.jpg,true,0009_EAE5rVG9YLM.jpg,digital-media/images/0009_EAE5rVG9YLM.jpg,2026-08-06T10:03:58.969Z
Digital Media,Music & Entertainment,Slidefilm.co,ocr,success,SLIDEFILM.CO | ENTERTAINMENT,EAE-A6bZmy8,Black White Elegant Film Strip Entertainment Logo,https://www.canva.com/templates/EAE-A6bZmy8-black-white-elegant-film-strip-entertainment-logo/,https://template.canva.com/EAE-A6bZmy8/1/0/800w-qoWzwQiF7EE.jpg,true,0007_EAE-A6bZmy8.jpg,digital-media/images/0007_EAE-A6bZmy8.jpg,2026-08-06T10:03:58.284Z
Digital Media,Music & Entertainment,Bu,ocr,success,BU | ISOLATED FILM | PRODUCTION | SINCE 1987,EAE8O_I-mbw,Black White Filmstrip Entertainment Videography Logo,https://www.canva.com/templates/EAE8O_I-mbw-black-white-filmstrip-entertainment-videography-logo/,https://template.canva.com/EAE8O_I-mbw/1/0/800w-nepy_oHKQY4.jpg,true,0005_EAE8O_I-mbw.jpg,digital-media/images/0005_EAE8O_I-mbw.jpg,2026-08-06T10:03:57.579Z
Digital Media,Music & Entertainment,Moviesindo,ocr,success,MOVIESINDO | PRODUCTION | CALIFORNIA,EAFLhLOFCJE,Black White Minimalist Film Reel Production Logo,https://www.canva.com/templates/EAFLhLOFCJE-black-white-minimalist-film-reel-production-logo/,https://template.canva.com/EAFLhLOFCJE/1/0/800w-TedADHkSqE0.jpg,true,0012_EAFLhLOFCJE.jpg,digital-media/images/0012_EAFLhLOFCJE.jpg,2026-08-06T10:04:09.574Z
Digital Media,Photography & Media,Projection,ocr,success,PROJECTION | VIDEOGRAPHER,EAE-BO0WHkY,Black White Modern Camera Videographer Logo,https://www.canva.com/templates/EAE-BO0WHkY-black-white-modern-camera-videographer-logo/,https://template.canva.com/EAE-BO0WHkY/1/0/800w-mbnbrIuHnsw.jpg,true,0018_EAE-BO0WHkY.jpg,digital-media/images/0018_EAE-BO0WHkY.jpg,2026-08-06T10:04:10.893Z
Digital Media,Photography & Media,Moviescript,ocr,success,MOVIESCRIPT | PRODUCTION,EAE-ZqZNqHM,Black White Modern Movie Script Production Logo,https://www.canva.com/templates/EAE-ZqZNqHM-black-white-modern-movie-script-production-logo/,https://template.canva.com/EAE-ZqZNqHM/1/0/800w-Wx8hIPeo0nY.jpg,true,0001_EAE-ZqZNqHM.jpg,digital-media/images/0001_EAE-ZqZNqHM.jpg,2026-08-06T10:03:54.458Z
Digital Media,Photography & Media,Movie House,ocr,success,MOVIE HOUSE | PRODUCTION,EAFj-xQ1lHA,blue black minimalist movie house production logo template,https://www.canva.com/templates/EAFj-xQ1lHA-blue-black-minimalist-movie-house-production-logo-template/,https://template.canva.com/EAFj-xQ1lHA/1/0/800w-dWl_jXEjvv0.jpg,true,0020_EAFj-xQ1lHA.jpg,digital-media/images/0020_EAFj-xQ1lHA.jpg,2026-08-06T10:04:18.531Z
Digital Media,Music & Entertainment,Grillofilms,ocr,success,Heating | GRILLOFILMS | VIDEOGRAPHY,EAE8O9Tw31A,Brown and Black Vintage Film Strip Logo,https://www.canva.com/templates/EAE8O9Tw31A-brown-and-black-vintage-film-strip-logo/,https://template.canva.com/EAE8O9Tw31A/1/0/800w-u-gDKrmGKOw.jpg,true,0017_EAE8O9Tw31A.jpg,digital-media/images/0017_EAE8O9Tw31A.jpg,2026-08-06T10:04:10.658Z
Digital Media,Music & Entertainment,LaranaFilm,ocr,success,LaranaFilm | ENTERTAINMENT,EAEq5pDF3H0,Brown Film Production Logo,https://www.canva.com/templates/EAEq5pDF3H0-brown-film-production-logo/,https://template.canva.com/EAEq5pDF3H0/1/0/800w-rcOlWCrnGH8.jpg,true,0002_EAEq5pDF3H0.jpg,digital-media/images/0002_EAEq5pDF3H0.jpg,2026-08-06T10:03:56.291Z
Digital Media,Music & Entertainment,Cinema,ocr,success,CINEMA | MOVIE PRODUCTION,EAE5rLyprQI,Dark Blue Vintage Hand Drawn Movie Camera Logo,https://www.canva.com/templates/EAE5rLyprQI-dark-blue-vintage-hand-drawn-movie-camera-logo/,https://template.canva.com/EAE5rLyprQI/1/0/800w-UIh0jyoSK5U.jpg,true,0013_EAE5rLyprQI.jpg,digital-media/images/0013_EAE5rLyprQI.jpg,2026-08-06T10:04:09.803Z
Digital Media,Music & Entertainment,Filmworks,ocr,success,20 | 22 | FILMWORKS | CINEMA,EAE5rTfzthE,Gold Line art Clapperboard for Movie Cinema Production Logo,https://www.canva.com/templates/EAE5rTfzthE-gold-line-art-clapperboard-for-movie-cinema-production-logo/,https://template.canva.com/EAE5rTfzthE/1/0/800w-8wPvaRHKV1g.jpg,true,0015_EAE5rTfzthE.jpg,digital-media/images/0015_EAE5rTfzthE.jpg,2026-08-06T10:04:10.248Z
Digital Media,Music & Entertainment,Filmmaker,ocr,success,ES | FILMMAKER | FILMWORK,EAE5rGnidls,Gold Line art Video Camera for Movie Cinema Production Logo,https://www.canva.com/templates/EAE5rGnidls-gold-line-art-video-camera-for-movie-cinema-production-logo/,https://template.canva.com/EAE5rGnidls/1/0/800w-aHV-oyWf2EU.jpg,true,0016_EAE5rGnidls.jpg,digital-media/images/0016_EAE5rGnidls.jpg,2026-08-06T10:04:10.443Z
