topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Brand,General Business,Bloom,ocr,success,BLOOM | YOUR SLOGAN,EAFJrdFzTx8,Aesthetic & Fun Brand Logo,https://www.canva.com/templates/EAFJrdFzTx8-aesthetic-fun-brand-logo/,https://template.canva.com/EAFJrdFzTx8/1/0/800w-eFyUzYoi2Z0.jpg,false,0016_EAFJrdFzTx8.jpg,brand/images/0016_EAFJrdFzTx8.jpg,2026-08-06T09:47:05.121Z
Brand,General Business,atrina,ocr,success,atrina | Florist Shop,EAEuSEKubFo,Aesthetic Florist Shop Logo,https://www.canva.com/templates/EAEuSEKubFo-aesthetic-florist-shop-logo/,https://template.canva.com/EAEuSEKubFo/1/0/800w-oY8N0lqnEPs.jpg,false,0070_EAEuSEKubFo.jpg,brand/images/0070_EAEuSEKubFo.jpg,2026-08-06T09:48:02.080Z
Brand,General Business,Les ele,ocr,success,Les ele | FAUGET | COMPANY-,EAFGRxDg9V0,Beige & Black Elegant Company Logo,https://www.canva.com/templates/EAFGRxDg9V0-beige-black-elegant-company-logo/,https://template.canva.com/EAFGRxDg9V0/1/0/800w--jVH-4mSwe8.jpg,false,0028_EAFGRxDg9V0.jpg,brand/images/0028_EAFGRxDg9V0.jpg,2026-08-06T09:47:22.363Z
Brand,Fashion & Apparel,Hannah Morales,ocr,success,Hannah Morales | Fashion Brand,EAFLsxXJl5Y,Beige & Black Minimalist Fashion Brand Logo,https://www.canva.com/templates/EAFLsxXJl5Y-beige-black-minimalist-fashion-brand-logo/,https://template.canva.com/EAFLsxXJl5Y/1/0/800w-ONNCyyYedik.jpg,false,0032_EAFLsxXJl5Y.jpg,brand/images/0032_EAFLsxXJl5Y.jpg,2026-08-06T09:47:22.941Z
Brand,Fashion & Apparel,Barcelle,ocr,success,Barcelle | FASHION,EAFLbyH0vZk,Beige and Brown Minimalist Fashion Brand Logo,https://www.canva.com/templates/EAFLbyH0vZk-beige-and-brown-minimalist-fashion-brand-logo/,https://template.canva.com/EAFLbyH0vZk/1/0/800w-JIWijheo-zs.jpg,false,0046_EAFLbyH0vZk.jpg,brand/images/0046_EAFLbyH0vZk.jpg,2026-08-06T09:47:39.635Z
Brand,General Business,Iw,ocr,success,IW | OLIVIA WILSON,EAFHni5p0vE,Beige and Orange Playful Logo,https://www.canva.com/templates/EAFHni5p0vE-beige-and-orange-playful-logo/,https://template.canva.com/EAFHni5p0vE/1/0/800w-mtqpICsIoSQ.jpg,false,0038_EAFHni5p0vE.jpg,brand/images/0038_EAFHni5p0vE.jpg,2026-08-06T09:47:30.489Z
Brand,Graphic Design & Creative Services,Nature,ocr,success,1444119. | NATURE | INTO THE WILD,EAFF0sZtqOA,Beige Colorful Illustrated Adventure Logo,https://www.canva.com/templates/EAFF0sZtqOA-beige-colorful-illustrated-adventure-logo/,https://template.canva.com/EAFF0sZtqOA/1/0/800w-PRwCgIfVXow.jpg,false,0041_EAFF0sZtqOA.jpg,brand/images/0041_EAFF0sZtqOA.jpg,2026-08-06T09:47:31.079Z
Brand,Beauty & Cosmetics,Avery Davis,ocr,success,AVERY DAVIS | NATURAL SKINCARE,EAFBxOAQblM,Beige Elegant Minimalist Skincare Logo,https://www.canva.com/templates/EAFBxOAQblM-beige-elegant-minimalist-skincare-logo/,https://template.canva.com/EAFBxOAQblM/1/0/800w-4e9O5OhzQG4.jpg,false,0076_EAFBxOAQblM.jpg,brand/images/0076_EAFBxOAQblM.jpg,2026-08-06T09:48:10.133Z
Brand,Advertising & Marketing,Heritage Fashion,ocr,success,HERITAGE FASHION | EST. 2022,EAFJyH5OA6E,Beige Marketing Typography Logo,https://www.canva.com/templates/EAFJyH5OA6E-beige-marketing-typography-logo/,https://template.canva.com/EAFJyH5OA6E/1/0/800w-v-50jODsIIU.jpg,false,0009_EAFJyH5OA6E.jpg,brand/images/0009_EAFJyH5OA6E.jpg,2026-08-06T09:46:54.240Z
Brand,Advertising & Marketing,Ry,ocr,success,Ry | COFFEE AND EATERY,EAFJyCACeBE,Beige Marketing Typography Logo,https://www.canva.com/templates/EAFJyCACeBE-beige-marketing-typography-logo/,https://template.canva.com/EAFJyCACeBE/1/0/800w-wX3BjK7dQao.jpg,false,0058_EAFJyCACeBE.jpg,brand/images/0058_EAFJyCACeBE.jpg,2026-08-06T09:47:50.384Z
