topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Digital Marketing,Advertising & Marketing,Seo,ocr,success,SEO | GRADUAL GROWTH | Best SEO Company,EAE7SwJ8JcM,Black and Red Modern SEO Company Logo,https://www.canva.com/templates/EAE7SwJ8JcM-black-and-red-modern-seo-company-logo/,https://template.canva.com/EAE7SwJ8JcM/2/0/800w-dx8k5UiGXu4.jpg,true,0005_EAE7SwJ8JcM.jpg,digital-marketing/images/0005_EAE7SwJ8JcM.jpg,2026-08-06T10:05:28.130Z
Digital Marketing,Advertising & Marketing,the agency,ocr,success,the agency | Digital Marketing Expert,EAE2VivrTsE,Blue & Green Modern Digital Agency Logo,https://www.canva.com/templates/EAE2VivrTsE-blue-green-modern-digital-agency-logo/,https://template.canva.com/EAE2VivrTsE/1/0/800w-Zh04vawdKic.jpg,true,0013_EAE2VivrTsE.jpg,digital-marketing/images/0013_EAE2VivrTsE.jpg,2026-08-06T10:05:35.863Z
Digital Marketing,Advertising & Marketing,Initial Search,ocr,success,INITIAL SEARCH | Best SEO Agency,EAE7S9SfRlQ,Blue and Green Modern SEO Agency Logo,https://www.canva.com/templates/EAE7S9SfRlQ-blue-and-green-modern-seo-agency-logo/,https://template.canva.com/EAE7S9SfRlQ/3/0/800w-sCXfZdTe8gE.jpg,true,0001_EAE7S9SfRlQ.jpg,digital-marketing/images/0001_EAE7S9SfRlQ.jpg,2026-08-06T10:05:27.570Z
Digital Marketing,Advertising & Marketing,Borcelle,ocr,success,BORCELLE | Marketing Agency,EAEvR5RCqP4,Blue Minimalist Marketing Agency Logo,https://www.canva.com/templates/EAEvR5RCqP4-blue-minimalist-marketing-agency-logo/,https://template.canva.com/EAEvR5RCqP4/1/0/800w-5XEFp4qdj5Y.jpg,true,0017_EAEvR5RCqP4.jpg,digital-marketing/images/0017_EAEvR5RCqP4.jpg,2026-08-06T10:05:36.425Z
Digital Marketing,Advertising & Marketing,Avery Davis,ocr,success,EST. 2022 | AVERY DAVIS,EAE0szsMMJI,Boho Logo,https://www.canva.com/templates/EAE0szsMMJI-boho-logo/,https://template.canva.com/EAE0szsMMJI/1/0/800w-vrDyxpHH5q4.jpg,true,0008_EAE0szsMMJI.jpg,digital-marketing/images/0008_EAE0szsMMJI.jpg,2026-08-06T10:05:28.527Z
Digital Marketing,Advertising & Marketing,Sec Helper,ocr,success,SEC HELPER | PROFESSIONAL SEO SERVICES,EAFZb07h050,Colorful Minimalist SEO Company Logo,https://www.canva.com/templates/EAFZb07h050-colorful-minimalist-seo-company-logo/,https://template.canva.com/EAFZb07h050/1/0/800w-ePShnvW3Fb8.jpg,true,0006_EAFZb07h050.jpg,digital-marketing/images/0006_EAFZb07h050.jpg,2026-08-06T10:05:28.264Z
Digital Marketing,Advertising & Marketing,Aldenaire,ocr,success,ALDENAIRE | CORPORATION,EAFLrGF1ySM,Digital Marketing Announcement Logo,https://www.canva.com/templates/EAFLrGF1ySM-digital-marketing-announcement-logo/,https://template.canva.com/EAFLrGF1ySM/2/0/800w-fHKbBz1HFIA.jpg,true,0011_EAFLrGF1ySM.jpg,digital-marketing/images/0011_EAFLrGF1ySM.jpg,2026-08-06T10:05:35.605Z
Digital Marketing,Advertising & Marketing,Aaron Loeb,ocr,success,AARON LOEB | PREMIUM,EAFMNr_T6eM,Digital Marketing Logo,https://www.canva.com/templates/EAFMNr_T6eM-digital-marketing-logo/,https://template.canva.com/EAFMNr_T6eM/1/0/800w-GXqzAq5VcHc.jpg,true,0004_EAFMNr_T6eM.jpg,digital-marketing/images/0004_EAFMNr_T6eM.jpg,2026-08-06T10:05:27.990Z
Digital Marketing,Advertising & Marketing,Alexander,ocr,success,ALEXANDER | CORPORATION,EAFLWZ-XaD8,Digital Marketing Logo,https://www.canva.com/templates/EAFLWZ-XaD8-digital-marketing-logo/,https://template.canva.com/EAFLWZ-XaD8/1/0/800w-jCVYId6780U.jpg,true,0018_EAFLWZ-XaD8.jpg,digital-marketing/images/0018_EAFLWZ-XaD8.jpg,2026-08-06T10:05:36.566Z
Digital Marketing,Advertising & Marketing,Arowwai,ocr,success,AROWWAI | CORPORATION,EAFLWWT9HsM,Digital Marketing Logo,https://www.canva.com/templates/EAFLWWT9HsM-digital-marketing-logo/,https://template.canva.com/EAFLWWT9HsM/1/0/800w-jM2iVjnveog.jpg,true,0019_EAFLWWT9HsM.jpg,digital-marketing/images/0019_EAFLWWT9HsM.jpg,2026-08-06T10:05:40.009Z
