topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Music,Graphic Design & Creative Services,Artist,ocr,success,ARTIST | BRAND,EAFLewHSOsk,Artist Musician Logo,https://www.canva.com/templates/EAFLewHSOsk-artist-musician-logo/,https://template.canva.com/EAFLewHSOsk/1/0/800w-R9N3tAyTChU.jpg,true,0029_EAFLewHSOsk.jpg,music/images/0029_EAFLewHSOsk.jpg,2026-08-06T09:58:18.665Z
Music,Music & Entertainment,Studio Shodwe,ocr,success,Studio Shodwe,EAE-0qofebg,Beige Vintage Circular Music Logo,https://www.canva.com/templates/EAE-0qofebg-beige-vintage-circular-music-logo/,https://template.canva.com/EAE-0qofebg/1/0/800w-DQjZEeeZl18.jpg,true,0045_EAE-0qofebg.jpg,music/images/0045_EAE-0qofebg.jpg,2026-08-06T09:58:28.169Z
Music,Graphic Design & Creative Services,Piano Class,ocr,success,Piano Class | MUSIC SCHOOL,EAGI3myOsRY,Black and Green Festive Flat Illustrated Piano School Logo,https://www.canva.com/templates/EAGI3myOsRY-black-and-green-festive-flat-illustrated-piano-school-logo/,https://template.canva.com/EAGI3myOsRY/1/0/800w-tSV4e-m3piM.jpg,true,0031_EAGI3myOsRY.jpg,music/images/0031_EAGI3myOsRY.jpg,2026-08-06T09:58:18.978Z
Music,Graphic Design & Creative Services,Music Studd,ocr,success,GOOD KARMA | 20 | 22 | MUSIC STUDD,EAE2RZZHiAE,Black and White Illustration Modern Music Studio Band Logo,https://www.canva.com/templates/EAE2RZZHiAE-black-and-white-illustration-modern-music-studio-band-logo/,https://template.canva.com/EAE2RZZHiAE/1/0/800w-cRgS8xcX0ys.jpg,true,0028_EAE2RZZHiAE.jpg,music/images/0028_EAE2RZZHiAE.jpg,2026-08-06T09:58:18.521Z
Music,Graphic Design & Creative Services,Musicoll,ocr,success,MUSICOLL | Music Class,EAE7UBvhxTQ,Black and White Minimalist Freeform Musical Notes Illustration Music Class Logo,https://www.canva.com/templates/EAE7UBvhxTQ-black-and-white-minimalist-freeform-musical-notes-illustration-music-class-logo/,https://template.canva.com/EAE7UBvhxTQ/1/0/800w-lgE1YP1FKtc.jpg,true,0012_EAE7UBvhxTQ.jpg,music/images/0012_EAE7UBvhxTQ.jpg,2026-08-06T09:58:00.860Z
Music,Music & Entertainment,Rimberio Music,ocr,success,Rimberio Music | MUSIC | SCHOOL,EAGJmZRZSXk,Black and White Modern Music Logo,https://www.canva.com/templates/EAGJmZRZSXk-black-and-white-modern-music-logo/,https://template.canva.com/EAGJmZRZSXk/2/0/800w-CC5CHWm_3CI.jpg,true,0015_EAGJmZRZSXk.jpg,music/images/0015_EAGJmZRZSXk.jpg,2026-08-06T09:58:01.401Z
Music,Music & Entertainment,Black.,ocr,success,Black. | DESIGN,EAFMbrQ4X9s,Black and White Modern Vintage Brand Logo,https://www.canva.com/templates/EAFMbrQ4X9s-black-and-white-modern-vintage-brand-logo/,https://template.canva.com/EAFMbrQ4X9s/1/0/800w-08vmvqglxio.jpg,true,0052_EAFMbrQ4X9s.jpg,music/images/0052_EAFMbrQ4X9s.jpg,2026-08-06T09:58:35.863Z
Music,Music & Entertainment,Rimberio,ocr,success,RIMBERIO | PIANO CLASS,EAGQ3GcVzWY,Black and White Piano Class Education Logo,https://www.canva.com/templates/EAGQ3GcVzWY-black-and-white-piano-class-education-logo/,https://template.canva.com/EAGQ3GcVzWY/1/0/800w-OzbH3eFnkjc.jpg,true,0018_EAGQ3GcVzWY.jpg,music/images/0018_EAGQ3GcVzWY.jpg,2026-08-06T09:58:01.925Z
Music,Music & Entertainment,Hool Of Nute,ocr,success,RIMBERIO | HOOL OF NUTE,EAG7f9xYVsg,Black and White Simple Music School Logo,https://www.canva.com/templates/EAG7f9xYVsg-black-and-white-simple-music-school-logo/,https://template.canva.com/EAG7f9xYVsg/1/0/800w-ApJV5jbWgFE.jpg,true,0030_EAG7f9xYVsg.jpg,music/images/0030_EAG7f9xYVsg.jpg,2026-08-06T09:58:18.824Z
Music,Music & Entertainment,Sweet Harmony,ocr,success,SWEET HARMONY | MUSIC SCHOOL,EAGS5nEinMA,Black and Yellow Musical School Logo,https://www.canva.com/templates/EAGS5nEinMA-black-and-yellow-musical-school-logo/,https://template.canva.com/EAGS5nEinMA/1/0/800w-jrQLhMqjFMs.jpg,true,0044_EAGS5nEinMA.jpg,music/images/0044_EAGS5nEinMA.jpg,2026-08-06T09:58:27.992Z
Music,Music & Entertainment,Early Bird,ocr,success,EARLY BIRD | MUSIC SCHOOL,EAGJolDg6AU,Black Bird Music School Logo,https://www.canva.com/templates/EAGJolDg6AU-black-bird-music-school-logo/,https://template.canva.com/EAGJolDg6AU/2/0/800w-yj_izmw4bHg.jpg,true,0019_EAGJolDg6AU.jpg,music/images/0019_EAGJolDg6AU.jpg,2026-08-06T09:58:09.382Z
Music,Music & Entertainment,Gentleman,ocr,success,GENTLEMAN | MUSIC,EAE7n0hhfIY,Black Grey Modern Gentleman Music Logo,https://www.canva.com/templates/EAE7n0hhfIY-black-grey-modern-gentleman-music-logo/,https://template.canva.com/EAE7n0hhfIY/1/0/800w-qM6Vw8oXRTY.jpg,false,0013_EAE7n0hhfIY.jpg,music/images/0013_EAE7n0hhfIY.jpg,2026-08-06T09:58:01.047Z
Music,Music & Entertainment,Piano Orchestra,ocr,success,PIANO ORCHESTRA | MELODY | MUSIC,EAFMWzQzKi0,Black Minimalist Piano Orchestra Logo Design,https://www.canva.com/templates/EAFMWzQzKi0-black-minimalist-piano-orchestra-logo-design/,https://template.canva.com/EAFMWzQzKi0/1/0/800w-2NB7jcYdr58.jpg,true,0006_EAFMWzQzKi0.jpg,music/images/0006_EAFMWzQzKi0.jpg,2026-08-06T09:57:52.672Z
Music,Music & Entertainment,Unknown EAFNYsBKE-Q,ocr_failed,success,,EAFNYsBKE-Q,black orange minimalist melody flow logo design,https://www.canva.com/templates/EAFNYsBKE-Q-black-orange-minimalist-melody-flow-logo-design/,https://template.canva.com/EAFNYsBKE-Q/1/0/800w-uWjPZLR098I.jpg,true,0010_EAFNYsBKE-Q.jpg,music/images/0010_EAFNYsBKE-Q.jpg,2026-08-06T09:58:00.502Z
Music,Music & Entertainment,Rimberio,ocr,success,RIMBERIO | PIANO CLASS,EAGOkMzyPBw,Black Piano ClassMusic Logo,https://www.canva.com/templates/EAGOkMzyPBw-black-piano-classmusic-logo/,https://template.canva.com/EAGOkMzyPBw/1/0/800w-a-LzsZDk7NI.jpg,true,0042_EAGOkMzyPBw.jpg,music/images/0042_EAGOkMzyPBw.jpg,2026-08-06T09:58:27.692Z
Music,Music & Entertainment,Siano,ocr,success,SIANO | MUSIC SCHOOL,EAGQ3LlkMqo,Black Piano Music School Logo,https://www.canva.com/templates/EAGQ3LlkMqo-black-piano-music-school-logo/,https://template.canva.com/EAGQ3LlkMqo/2/0/800w-HcT1b8UJuI4.jpg,true,0017_EAGQ3LlkMqo.jpg,music/images/0017_EAGQ3LlkMqo.jpg,2026-08-06T09:58:01.733Z
Music,Music & Entertainment,Fire Fan,ocr,success,FIRE FAN | COOL & HOT,EAFRaruzT94,black red minimalist fire fan logo,https://www.canva.com/templates/EAFRaruzT94-black-red-minimalist-fire-fan-logo/,https://template.canva.com/EAFRaruzT94/2/0/800w-ODYwXwbvhf4.jpg,true,0037_EAFRaruzT94.jpg,music/images/0037_EAFRaruzT94.jpg,2026-08-06T09:58:26.842Z
Music,Music & Entertainment,Melodic Shop,ocr,success,MELODIC SHOP | SHOPPING,EAFLo1ji6Bc,Black White Minimalist Melodic Shop Logo,https://www.canva.com/templates/EAFLo1ji6Bc-black-white-minimalist-melodic-shop-logo/,https://template.canva.com/EAFLo1ji6Bc/1/0/800w-w975IF3SBxQ.jpg,true,0046_EAFLo1ji6Bc.jpg,music/images/0046_EAFLo1ji6Bc.jpg,2026-08-06T09:58:34.721Z
Music,Music & Entertainment,education,ocr,success,MUSIC BOOK | education,EAFiPwMqYcM,Black White Vintage Music Book Logo,https://www.canva.com/templates/EAFiPwMqYcM-black-white-vintage-music-book-logo/,https://template.canva.com/EAFiPwMqYcM/1/0/800w-4mc_L7Ndodw.jpg,true,0034_EAFiPwMqYcM.jpg,music/images/0034_EAFiPwMqYcM.jpg,2026-08-06T09:58:19.398Z
Music,Music & Entertainment,FoLICERIA,ocr,success,FoLICERIA | Musical School,EAGwhRhyTII,Blue and Pink Musical School Logo,https://www.canva.com/templates/EAGwhRhyTII-blue-and-pink-musical-school-logo/,https://template.canva.com/EAGwhRhyTII/1/0/800w-6dqve2E_OiA.jpg,false,0026_EAGwhRhyTII.jpg,music/images/0026_EAGwhRhyTII.jpg,2026-08-06T09:58:10.425Z
