rank,coachRating,percentile,rawScore,name,coachId,birthDate,birthDateSource,birthPlace,birthPlaceSource,deathDate,nationality,nationalitySource,college,collegeSource,highSchool,almaMater,nickname,currentTeam,currentRole,latestSeason,headCoachSeasons,assistantCoachSeasons,regularGames,regularWins,regularLosses,regularWinPct,playoffGames,playoffWins,playoffLosses,playoffWinPct,wnbaChampionships,wnbaFinalsAppearances,coachOfTheYear,coachOfTheMonth,championshipPoints,coachOfYearPoints,regularSeasonWinPoints,playoffWinPoints,imageUrl,localImage,basketballReferenceUrl,wikipediaUrl,wikipediaMatchScore
1,70,100,143.13,Cheryl Reeve,reevech99w,1966-09-20,basketball-reference,"Omaha, NE",basketball-reference,,,,La Salle,basketball-reference,"Washington Township(Sewell, New Jersey)",,,MIN,Head Coach,2026,17,8,583,387,196,0.664,83,52,31,0.627,4,0,4,4,64,40,13.545,8.32,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/MN_Lynx%27s_coach_Cheryl_Reeve_in_2024_%281%29.jpg/960px-MN_Lynx%27s_coach_Cheryl_Reeve_in_2024_%281%29.jpg,images/001_Cheryl_Reeve.jpg,https://www.basketball-reference.com/wnba/coaches/reevech99w.html,https://en.wikipedia.org/wiki/Cheryl_Reeve,138
2,70,99.07,114.505,Van Chancellor,chancva99w,1943-09-27,basketball-reference,"Louisville, MS",basketball-reference,,,,,,,,,HOU,Head Coach,2006,10,0,322,211,111,0.655,34,20,14,0.588,4,0,3,0,64,30,7.385,3.2,https://upload.wikimedia.org/wikipedia/commons/d/d2/Coachvan_%28cropped%29.jpg,images/002_Van_Chancellor.jpg,https://www.basketball-reference.com/wnba/coaches/chancva99w.html,https://en.wikipedia.org/wiki/Van_Chancellor,100
3,70,98.15,98.51,Bill Laimbeer,laimbbi99w,1957-05-19,basketball-reference,"Boston, MA",basketball-reference,,,,Notre Dame,basketball-reference,"Palos Verdes(Palos Verdes, California)",,,LVA,Head Coach,2021,17,0,521,306,215,0.587,69,37,32,0.536,3,0,2,4,48,20,10.71,5.92,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Bill_Laimbeer_2_%28cropped%29.jpg/960px-Bill_Laimbeer_2_%28cropped%29.jpg,images/003_Bill_Laimbeer.jpg,https://www.basketball-reference.com/wnba/coaches/laimbbi99w.html,https://en.wikipedia.org/wiki/Bill_Laimbeer,110
4,69,97.22,82.24,Becky Hammon,hammobe01w,1977-03-11,basketball-reference,"Rapid City, SD",basketball-reference,,,,Colorado State,basketball-reference,"Stevens(Rapid City, South Dakota)",,,LVA,Head Coach,2026,5,0,187,136,51,0.727,37,28,9,0.757,3,0,1,4,48,10,4.76,4.48,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Becky_Hammon_2025_%28cropped%29.jpg/960px-Becky_Hammon_2025_%28cropped%29.jpg,images/004_Becky_Hammon.jpg,https://www.basketball-reference.com/wnba/coaches/hammobe01w.html,https://en.wikipedia.org/wiki/Becky_Hammon,138
5,69,96.3,76.125,Mike Thibault,thibami99w,1950-09-28,basketball-reference,"St. Paul, MN",basketball-reference,,,,San Jose State,basketball-reference,,,,WAS,Head Coach,2022,20,0,668,379,289,0.567,72,34,38,0.472,1,0,3,2,16,30,13.265,5.44,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Washington_Mystics_Head_Coach_Mike_Thibault_%2848372324116%29_%28cropped%29.jpg/960px-Washington_Mystics_Head_Coach_Mike_Thibault_%2848372324116%29_%28cropped%29.jpg,images/005_Mike_Thibault.jpg,https://www.basketball-reference.com/wnba/coaches/thibami99w.html,https://en.wikipedia.org/wiki/Mike_Thibault,128
6,68,95.37,71.995,Sandy Brondello,brondsa01w,1968-08-20,basketball-reference,"Eton, AU",basketball-reference,,,,,,,,,TOR,Head Coach,2026,14,8,479,281,198,0.587,72,40,32,0.556,2,0,1,4,32,10,9.835,6.4,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Sandy_Brondello_2024.jpg/960px-Sandy_Brondello_2024.jpg,images/006_Sandy_Brondello.jpg,https://www.basketball-reference.com/wnba/coaches/brondsa01w.html,https://en.wikipedia.org/wiki/Sandy_Brondello,128
7,68,94.44,66.135,Brian Agler,aglerbr99w,1958-08-02,basketball-reference,"Wilmington, OH",basketball-reference,,,,Wittenberg University,basketball-reference,"Elgin (Marion, Ohio)",,,DAL,Head Coach,2020,17,4,545,287,258,0.527,43,24,19,0.558,2,0,1,1,32,10,10.045,3.84,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Brian_Agler_%28cropped%29.jpg/960px-Brian_Agler_%28cropped%29.jpg,images/007_Brian_Agler.jpg,https://www.basketball-reference.com/wnba/coaches/aglerbr99w.html,https://en.wikipedia.org/wiki/Brian_Agler,138
8,67,93.52,64.075,Michael Cooper,coopemi01w,1956-04-15,basketball-reference,"Los Angeles, CA",basketball-reference,,,,New Mexico,basketball-reference,"Pasadena (Pasadena, California)",,,ATL,Assistant Coach,2017,12,2,388,230,158,0.593,42,26,16,0.619,2,0,1,0,32,10,8.05,4.16,https://upload.wikimedia.org/wikipedia/commons/3/3a/Michael_Cooper_%287834581%29_%28cropped%29.jpg,images/008_Michael_Cooper.jpg,https://www.basketball-reference.com/wnba/coaches/coopemi01w.html,https://en.wikipedia.org/wiki/Michael_Cooper,110
9,67,92.59,56.51,Dan Hughes,hugheda99w,1955-04-14,basketball-reference,"Marietta, OH",basketball-reference,,,,Muskingum University,basketball-reference,,,,SEA,Head Coach,2021,19,2,598,286,312,0.478,50,22,28,0.44,1,0,2,0,16,20,10.01,3.52,,,https://www.basketball-reference.com/wnba/coaches/hugheda99w.html,https://en.wikipedia.org/wiki/Dan_Hughes_(basketball),138
10,66,91.67,41.64,James Wade,wadeja99w,1975-08-15,basketball-reference,"Memphis, TN",basketball-reference,,,,"Middle Tennessee,Kennesaw State University",basketball-reference,"Northside (Memphis, Tennessee)",,Coco,CHI,Head Coach,2023,5,6,140,81,59,0.579,21,13,8,0.619,1,0,1,3,16,10,2.835,2.08,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/James_Wade_%28cropped%29.jpg/960px-James_Wade_%28cropped%29.jpg,images/010_James_Wade.jpg,https://www.basketball-reference.com/wnba/coaches/wadeja99w.html,https://en.wikipedia.org/wiki/James_Wade_(basketball),110
