topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Graphic Design,Graphic Design & Creative Services,Wardiere Inc,ocr,success,WARDIERE INC | your slogan here,EAE6Z11Sqns,Abstract Creative Graphic Design Logo Template,https://www.canva.com/templates/EAE6Z11Sqns-abstract-creative-graphic-design-logo-template/,https://template.canva.com/EAE6Z11Sqns/1/0/800w-s42mPGA3yMU.jpg,true,0051_EAE6Z11Sqns.jpg,graphic-design/images/0051_EAE6Z11Sqns.jpg,2026-08-06T09:57:21.217Z
Graphic Design,Graphic Design & Creative Services,Avery Davis,ocr,success,AVERY DAVIS | GRAPHIC DESIGN,EAE3tzSBqvI,Aesthetic,https://www.canva.com/templates/EAE3tzSBqvI-aesthetic/,https://template.canva.com/EAE3tzSBqvI/1/0/800w-1UttIPwX0Ek.jpg,true,0030_EAE3tzSBqvI.jpg,graphic-design/images/0030_EAE3tzSBqvI.jpg,2026-08-06T09:57:02.733Z
Graphic Design,Graphic Design & Creative Services,Cosmetics Store,ocr,success,COSMETICS STORE,EAFAmAQev08,Beauty Cosmetic Store Logo Design,https://www.canva.com/templates/EAFAmAQev08-beauty-cosmetic-store-logo-design/,https://template.canva.com/EAFAmAQev08/2/0/800w-z3Ke202nb7w.jpg,true,0004_EAFAmAQev08.jpg,graphic-design/images/0004_EAFAmAQev08.jpg,2026-08-06T09:56:30.158Z
Graphic Design,Graphic Design & Creative Services,School,ocr,success,SCHOOL | MARKET | STATIONERY MARKET,EAHRE5EpyR8,Black and White Minimalist School Logo,https://www.canva.com/templates/EAHRE5EpyR8-black-and-white-minimalist-school-logo/,https://template.canva.com/EAHRE5EpyR8/1/0/800w-GcDn1nKuZfM.jpg,true,0043_EAHRE5EpyR8.jpg,graphic-design/images/0043_EAHRE5EpyR8.jpg,2026-08-06T09:57:13.043Z
Graphic Design,Graphic Design & Creative Services,Studio Shodwe.,ocr,success,STUDIO SHODWE.,EAFL0Z8AGyU,Black Cream Minimalist Hand Draw Sun Logo,https://www.canva.com/templates/EAFL0Z8AGyU-black-cream-minimalist-hand-draw-sun-logo/,https://template.canva.com/EAFL0Z8AGyU/1/0/800w-9tMkxQUD7jE.jpg,true,0003_EAFL0Z8AGyU.jpg,graphic-design/images/0003_EAFL0Z8AGyU.jpg,2026-08-06T09:56:30.016Z
Graphic Design,Graphic Design & Creative Services,Engela,ocr,success,ENGELA | DESIGN STUDIO,EAEqzzbeVwA,Black Minimalist Simple Wing Design Studio Logo Template,https://www.canva.com/templates/EAEqzzbeVwA-black-minimalist-simple-wing-design-studio-logo-template/,https://template.canva.com/EAEqzzbeVwA/2/0/800w--LyX5-u9UgI.jpg,true,0007_EAEqzzbeVwA.jpg,graphic-design/images/0007_EAEqzzbeVwA.jpg,2026-08-06T09:56:30.593Z
Graphic Design,Graphic Design & Creative Services,Premium,ocr,success,CREATIVE GRAPHIC | PREMIUM | DESIGN STUDID,EAE7WP58zjM,Black Modern Graphic Design Studio Logo,https://www.canva.com/templates/EAE7WP58zjM-black-modern-graphic-design-studio-logo/,https://template.canva.com/EAE7WP58zjM/2/0/800w-hMpFRZ8GcD0.jpg,false,0021_EAE7WP58zjM.jpg,graphic-design/images/0021_EAE7WP58zjM.jpg,2026-08-06T09:56:49.305Z
Graphic Design,Graphic Design & Creative Services,Morgan Maxwell,ocr,success,M | Morgan Maxwell | DESIGNS,EAFGJfzOpms,Black White Grey Elegant Minimalist Modern Circle Border Logo,https://www.canva.com/templates/EAFGJfzOpms-black-white-grey-elegant-minimalist-modern-circle-border-logo/,https://template.canva.com/EAFGJfzOpms/1/0/800w--OUfRmxVO3o.jpg,false,0031_EAFGJfzOpms.jpg,graphic-design/images/0031_EAFGJfzOpms.jpg,2026-08-06T09:57:03.170Z
Graphic Design,Graphic Design & Creative Services,Studio Shodwe,ocr,success,Studio Shodwe | Digital Art Specialist,EAFfZBVVpx0,Blue and Black Modern Elegant Digital Art Logo,https://www.canva.com/templates/EAFfZBVVpx0-blue-and-black-modern-elegant-digital-art-logo/,https://template.canva.com/EAFfZBVVpx0/1/0/800w-JQ2Hq-zsxQg.jpg,false,0011_EAFfZBVVpx0.jpg,graphic-design/images/0011_EAFfZBVVpx0.jpg,2026-08-06T09:56:38.159Z
Graphic Design,Graphic Design & Creative Services,Marceline,ocr,success,MARCELINE | ANDERSON | GRAPHIC DESIGNER,EAE9yu9HtUk,Blue and White Graphic Designer Curved Text Logo,https://www.canva.com/templates/EAE9yu9HtUk-blue-and-white-graphic-designer-curved-text-logo/,https://template.canva.com/EAE9yu9HtUk/1/0/800w-8May9D3CHjc.jpg,false,0010_EAE9yu9HtUk.jpg,graphic-design/images/0010_EAE9yu9HtUk.jpg,2026-08-06T09:56:37.735Z
Graphic Design,Technology & Electronics,Alfredo Torres,ocr,success,ALFREDO TORRES | graphic design services,EAFEgTg8oLo,Blue Tech Line Art Designer Illustrated Modern Logo,https://www.canva.com/templates/EAFEgTg8oLo-blue-tech-line-art-designer-illustrated-modern-logo/,https://template.canva.com/EAFEgTg8oLo/1/0/800w-trm9IFmsWNo.jpg,false,0041_EAFEgTg8oLo.jpg,graphic-design/images/0041_EAFEgTg8oLo.jpg,2026-08-06T09:57:12.751Z
Graphic Design,Graphic Design & Creative Services,Avery Davis,ocr,success,EST. 2022 | AVERY DAVIS,EAE0szsMMJI,Boho Logo,https://www.canva.com/templates/EAE0szsMMJI-boho-logo/,https://template.canva.com/EAE0szsMMJI/1/0/800w-vrDyxpHH5q4.jpg,true,0016_EAE0szsMMJI.jpg,graphic-design/images/0016_EAE0szsMMJI.jpg,2026-08-06T09:56:39.593Z
Graphic Design,Graphic Design & Creative Services,Luxury,ocr,success,зн1 | LUXURY | HAIR STUDIO,EAE0sw3C6nw,Botanical Design,https://www.canva.com/templates/EAE0sw3C6nw-botanical-design/,https://template.canva.com/EAE0sw3C6nw/1/0/800w-rVARqEW5KnI.jpg,true,0036_EAE0sw3C6nw.jpg,graphic-design/images/0036_EAE0sw3C6nw.jpg,2026-08-06T09:57:04.366Z
Graphic Design,Graphic Design & Creative Services,abra defan,ocr,success,abra defan | GRAPHIC DESIGNER,EAFG_02BI0M,Brown Boho Graphic Designer Logo,https://www.canva.com/templates/EAFG_02BI0M-brown-boho-graphic-designer-logo/,https://template.canva.com/EAFG_02BI0M/1/0/800w-FSgPguzCsts.jpg,true,0025_EAFG_02BI0M.jpg,graphic-design/images/0025_EAFG_02BI0M.jpg,2026-08-06T09:56:50.216Z
Graphic Design,Graphic Design & Creative Services,Graphic Design,ocr,success,GRAPHIC DESIGN,EAEiNFw7Aa0,Brown Circle Initials Graphic Design Logo,https://www.canva.com/templates/EAEiNFw7Aa0-brown-circle-initials-graphic-design-logo/,https://template.canva.com/EAEiNFw7Aa0/1/0/800w-yaUInYBvYPc.jpg,true,0033_EAEiNFw7Aa0.jpg,graphic-design/images/0033_EAEiNFw7Aa0.jpg,2026-08-06T09:57:03.819Z
Graphic Design,Graphic Design & Creative Services,Avery,ocr,success,AVERY | 2 | DAVIS,EAE0a3WrgWc,Butterfly Logo,https://www.canva.com/templates/EAE0a3WrgWc-butterfly-logo/,https://template.canva.com/EAE0a3WrgWc/1/0/800w-EZdeJQBmn2A.jpg,true,0047_EAE0a3WrgWc.jpg,graphic-design/images/0047_EAE0a3WrgWc.jpg,2026-08-06T09:57:20.617Z
