topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Engineering,Technology & Electronics,Helper,ocr,success,HELPER | SERVICE CENTER,EAFNJXFkdJ4,Black Orange Minimalist Service Center Gear Logo,https://www.canva.com/templates/EAFNJXFkdJ4-black-orange-minimalist-service-center-gear-logo/,https://template.canva.com/EAFNJXFkdJ4/1/0/800w-J15s8QtW-GM.jpg,true,0014_EAFNJXFkdJ4.jpg,engineering/images/0014_EAFNJXFkdJ4.jpg,2026-08-06T10:04:54.173Z
Engineering,Technology & Electronics,Heavy,ocr,success,HEAVY | MACHINE REPAIR,EAEu16jxpGE,Black White Modern Heavy Logo,https://www.canva.com/templates/EAEu16jxpGE-black-white-modern-heavy-logo/,https://template.canva.com/EAEu16jxpGE/1/0/800w-Z6m3s1gnMC0.jpg,true,0003_EAEu16jxpGE.jpg,engineering/images/0003_EAEu16jxpGE.jpg,2026-08-06T10:04:42.184Z
Engineering,Technology & Electronics,Curtin,ocr,success,CURTIN | SUNVIEW | Design Academy,EADajg048J0,Blue and Yellow Modern Education Logo,https://www.canva.com/templates/EADajg048J0-blue-and-yellow-modern-education-logo/,https://template.canva.com/EADajg048J0/2/0/800w-MI4sUI_0ypE.jpg,false,0006_EADajg048J0.jpg,engineering/images/0006_EADajg048J0.jpg,2026-08-06T10:04:42.673Z
Engineering,Technology & Electronics,Kinetics Worlds,ocr,success,KINETICS WORLDS | ENERGY GLOBAL,EAExKsxnVSE,blue bold engineering logo,https://www.canva.com/templates/EAExKsxnVSE-blue-bold-engineering-logo/,https://template.canva.com/EAExKsxnVSE/2/0/800w-5w7hBkxjcW4.jpg,true,0023_EAExKsxnVSE.jpg,engineering/images/0023_EAExKsxnVSE.jpg,2026-08-06T10:05:00.077Z
Engineering,Technology & Electronics,Camitech,ocr,success,CAMITECH | ELECTRONIC,EAE2j1RYWUc,Blue Computer Electronic Logo,https://www.canva.com/templates/EAE2j1RYWUc-blue-computer-electronic-logo/,https://template.canva.com/EAE2j1RYWUc/1/0/800w-MF0ghgJC68A.jpg,true,0005_EAE2j1RYWUc.jpg,engineering/images/0005_EAE2j1RYWUc.jpg,2026-08-06T10:04:42.507Z
Engineering,Technology & Electronics,Wrench Gear,ocr,success,WRENCH GEAR | REPAIR,EAFOZ6eAlVA,Blue Minimalist Wrench Gear Logo,https://www.canva.com/templates/EAFOZ6eAlVA-blue-minimalist-wrench-gear-logo/,https://template.canva.com/EAFOZ6eAlVA/1/0/800w-UhLUSHfEXMw.jpg,true,0004_EAFOZ6eAlVA.jpg,engineering/images/0004_EAFOZ6eAlVA.jpg,2026-08-06T10:04:42.352Z
Engineering,Technology & Electronics,Maintenance,ocr,success,MAINTENANCE | WRENCH GEAR,EAFNsaa7YK4,Blue Minimalist Wrench Gear Logo,https://www.canva.com/templates/EAFNsaa7YK4-blue-minimalist-wrench-gear-logo/,https://template.canva.com/EAFNsaa7YK4/1/0/800w-_NBbCzbVQHU.jpg,true,0009_EAFNsaa7YK4.jpg,engineering/images/0009_EAFNsaa7YK4.jpg,2026-08-06T10:04:43.159Z
Engineering,Technology & Electronics,Electrical,ocr,success,ELECTRICAL | ENERGY,EAFJWkufj-8,Blue Yellow Minimalist Electrical Energy Logo,https://www.canva.com/templates/EAFJWkufj-8-blue-yellow-minimalist-electrical-energy-logo/,https://template.canva.com/EAFJWkufj-8/2/0/800w-2P8peo4IIu4.jpg,true,0002_EAFJWkufj-8.jpg,engineering/images/0002_EAFJWkufj-8.jpg,2026-08-06T10:04:42.031Z
Engineering,Technology & Electronics,Robotics Club,ocr,success,Robotics Club | ES | TD | Futuristic University,EAEa8ySK_N8,Brown Robotics Club Logo,https://www.canva.com/templates/EAEa8ySK_N8-brown-robotics-club-logo/,https://template.canva.com/EAEa8ySK_N8/1/0/800w-aEuYfGLS8HY.jpg,true,0017_EAEa8ySK_N8.jpg,engineering/images/0017_EAEa8ySK_N8.jpg,2026-08-06T10:04:54.585Z
Engineering,Technology & Electronics,Eroner,ocr,success,ERONER | Toothed Wheel,EAEwm8owiYM,Letter E With Vehicle and Gear Concept Logo,https://www.canva.com/templates/EAEwm8owiYM-letter-e-with-vehicle-and-gear-concept-logo/,https://template.canva.com/EAEwm8owiYM/1/0/800w-2kiwrFQPVxA.jpg,true,0020_EAEwm8owiYM.jpg,engineering/images/0020_EAEwm8owiYM.jpg,2026-08-06T10:04:59.586Z
Engineering,Technology & Electronics,Lorine,ocr,success,LORINE | Toothed Wheel,EAEyGs_NNpA,Letter L Logo With Vehicle and Gear Concept.,https://www.canva.com/templates/EAEyGs_NNpA-letter-l-logo-with-vehicle-and-gear-concept/,https://template.canva.com/EAEyGs_NNpA/1/0/800w-DomkLncTHwc.jpg,true,0021_EAEyGs_NNpA.jpg,engineering/images/0021_EAEyGs_NNpA.jpg,2026-08-06T10:04:59.741Z
Engineering,Technology & Electronics,Levoine,ocr,success,LEVOINE | ELECTRONIC,EAE21DHPTpU,Minimalist Electronic Logo,https://www.canva.com/templates/EAE21DHPTpU-minimalist-electronic-logo/,https://template.canva.com/EAE21DHPTpU/1/0/800w-EuEdicVgwzo.jpg,false,0001_EAE21DHPTpU.jpg,engineering/images/0001_EAE21DHPTpU.jpg,2026-08-06T10:04:41.877Z
Engineering,Technology & Electronics,Noicas,ocr,success,NOICAS | ELECTRONIC,EAE21KUvvRE,Minimalist Electronic Logo,https://www.canva.com/templates/EAE21KUvvRE-minimalist-electronic-logo/,https://template.canva.com/EAE21KUvvRE/1/0/800w-b9CihILdGN4.jpg,false,0007_EAE21KUvvRE.jpg,engineering/images/0007_EAE21KUvvRE.jpg,2026-08-06T10:04:42.818Z
Engineering,Technology & Electronics,Technology,ocr,success,TECHNOLOGY,EAE21P30jP4,Minimalist Letter Initial Technology Logo,https://www.canva.com/templates/EAE21P30jP4-minimalist-letter-initial-technology-logo/,https://template.canva.com/EAE21P30jP4/1/0/800w-4rlBvoJSSxI.jpg,false,0013_EAE21P30jP4.jpg,engineering/images/0013_EAE21P30jP4.jpg,2026-08-06T10:04:54.042Z
Engineering,Technology & Electronics,Electronic,ocr,success,ELECTRONIC,EAE21OiH5sU,Modern Minimalist Technology Logo,https://www.canva.com/templates/EAE21OiH5sU-modern-minimalist-technology-logo/,https://template.canva.com/EAE21OiH5sU/1/0/800w-8pf4aSctToE.jpg,true,0011_EAE21OiH5sU.jpg,engineering/images/0011_EAE21OiH5sU.jpg,2026-08-06T10:04:53.754Z
Engineering,Technology & Electronics,Evertone,ocr,success,EVERTONE | ELECTRONIC,EAE21FKf_Ug,Modern Typography Electronic Logo,https://www.canva.com/templates/EAE21FKf_Ug-modern-typography-electronic-logo/,https://template.canva.com/EAE21FKf_Ug/1/0/800w-8tElTxOgo-g.jpg,false,0012_EAE21FKf_Ug.jpg,engineering/images/0012_EAE21FKf_Ug.jpg,2026-08-06T10:04:53.888Z
Engineering,Technology & Electronics,Starlight,ocr,success,STARLIGHT | ELECTRONIC,EAE21C78PUc,Modern Typography Electronic Logo,https://www.canva.com/templates/EAE21C78PUc-modern-typography-electronic-logo/,https://template.canva.com/EAE21C78PUc/1/0/800w-XTKsOSUhcCQ.jpg,false,0019_EAE21C78PUc.jpg,engineering/images/0019_EAE21C78PUc.jpg,2026-08-06T10:04:59.447Z
Engineering,Technology & Electronics,Cybertech,ocr,success,Cybertech | Company,EAEuHM721eE,Navy Blue Cybertech Company Logo,https://www.canva.com/templates/EAEuHM721eE-navy-blue-cybertech-company-logo/,https://template.canva.com/EAEuHM721eE/1/0/800w-TR2INQl6yFg.jpg,true,0010_EAEuHM721eE.jpg,engineering/images/0010_EAEuHM721eE.jpg,2026-08-06T10:04:53.621Z
Engineering,Technology & Electronics,Electrical,ocr,success,Electrical | Energy,EAFL8YVeaSs,Red Black Modern and Minimalist Electrical Energy Logo,https://www.canva.com/templates/EAFL8YVeaSs-red-black-modern-and-minimalist-electrical-energy-logo/,https://template.canva.com/EAFL8YVeaSs/1/0/800w-NP4StyFQBpE.jpg,true,0016_EAFL8YVeaSs.jpg,engineering/images/0016_EAFL8YVeaSs.jpg,2026-08-06T10:04:54.447Z
Engineering,Technology & Electronics,Mechanic Gear,ocr,success,MECHANIC GEAR | EST.2022,EAFPHu86dRY,Red Blue Minimalist Mechanic Gear Logo Design,https://www.canva.com/templates/EAFPHu86dRY-red-blue-minimalist-mechanic-gear-logo-design/,https://template.canva.com/EAFPHu86dRY/1/0/800w-2eU-VH4Uf-A.jpg,true,0022_EAFPHu86dRY.jpg,engineering/images/0022_EAFPHu86dRY.jpg,2026-08-06T10:04:59.900Z
Engineering,Technology & Electronics,Industry,ocr,success,INDUSTRY | P | GE AR,EAFOKl9oZFU,Red bold gear industry logo,https://www.canva.com/templates/EAFOKl9oZFU-red-bold-gear-industry-logo/,https://template.canva.com/EAFOKl9oZFU/1/0/800w-cQl_4D0Mj7Q.jpg,true,0008_EAFOKl9oZFU.jpg,engineering/images/0008_EAFOKl9oZFU.jpg,2026-08-06T10:04:42.993Z
Engineering,Technology & Electronics,Tech Tree,ocr,success,TECH TREE | DIGITAL,EAE0VxjuyfY,tech tree electrical circuit digital logo template,https://www.canva.com/templates/EAE0VxjuyfY-tech-tree-electrical-circuit-digital-logo-template/,https://template.canva.com/EAE0VxjuyfY/1/0/800w-HKOPr7phE8c.jpg,false,0018_EAE0VxjuyfY.jpg,engineering/images/0018_EAE0VxjuyfY.jpg,2026-08-06T10:04:54.730Z
Engineering,Technology & Electronics,Lightbulb,ocr,success,LIGHTBULB,EAFOKon60Yg,Yellow minimalist light bulb logo,https://www.canva.com/templates/EAFOKon60Yg-yellow-minimalist-light-bulb-logo/,https://template.canva.com/EAFOKon60Yg/1/0/800w-JIKQoDcvsAc.jpg,true,0015_EAFOKon60Yg.jpg,engineering/images/0015_EAFOKon60Yg.jpg,2026-08-06T10:04:54.309Z
