topic,industry,company_name,name_source,ocr_status,ocr_text,template_id,template_title,template_url,image_url,is_pro,file_name,relative_path,collected_at
Biology,Technology & Electronics,Marceline,ocr,success,MARCELINE | TECHNOLOGY,EAFHPa7vR_o,Abstract Microscope Logo,https://www.canva.com/templates/EAFHPa7vR_o-abstract-microscope-logo/,https://template.canva.com/EAFHPa7vR_o/1/0/800w-BLIKO5TVoU0.jpg,true,0023_EAFHPa7vR_o.jpg,biology/images/0023_EAFHPa7vR_o.jpg,2026-08-06T10:03:22.237Z
Biology,Science & Environment,Benjamin,ocr,success,BENJAMIN | CREATIVE,EAFHgXX2hlk,Biological Human Brain Logo,https://www.canva.com/templates/EAFHgXX2hlk-biological-human-brain-logo/,https://template.canva.com/EAFHgXX2hlk/1/0/800w-l72TNmgFPpA.jpg,true,0028_EAFHgXX2hlk.jpg,biology/images/0028_EAFHgXX2hlk.jpg,2026-08-06T10:03:27.078Z
Biology,Science & Environment,Brigitte,ocr,success,BRIGITTE | MEDICAL,EAFIXtYDGD0,Biological Human Skeleton Logo,https://www.canva.com/templates/EAFIXtYDGD0-biological-human-skeleton-logo/,https://template.canva.com/EAFIXtYDGD0/1/0/800w-RJupFwAtgcI.jpg,true,0017_EAFIXtYDGD0.jpg,biology/images/0017_EAFIXtYDGD0.jpg,2026-08-06T10:03:15.167Z
Biology,Science & Environment,Science,ocr,success,Science | LABORATORY,EAFRMsC6ro8,Blue Brown Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMsC6ro8-blue-brown-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMsC6ro8/1/0/800w-BBGOTvPbuyA.jpg,true,0014_EAFRMsC6ro8.jpg,biology/images/0014_EAFRMsC6ro8.jpg,2026-08-06T10:03:14.728Z
Biology,Science & Environment,biology cell,ocr,success,biology cell | MOLECULE | GENETIC,EAFQHVBoqxI,blue minimalist biology cell logo design,https://www.canva.com/templates/EAFQHVBoqxI-blue-minimalist-biology-cell-logo-design/,https://template.canva.com/EAFQHVBoqxI/1/0/800w-ImNnqSTnCRI.jpg,true,0002_EAFQHVBoqxI.jpg,biology/images/0002_EAFQHVBoqxI.jpg,2026-08-06T10:03:07.845Z
Biology,Science & Environment,Science,ocr,success,SCIENCE | LABORATORY,EAFRMlky_KQ,Blue Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMlky_KQ-blue-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMlky_KQ/1/0/800w-u-ZcJ8q7_SU.jpg,true,0001_EAFRMlky_KQ.jpg,biology/images/0001_EAFRMlky_KQ.jpg,2026-08-06T10:03:07.703Z
Biology,Science & Environment,Science,ocr,success,Science | Laboratory,EAFRMrp6nrg,Blue Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMrp6nrg-blue-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMrp6nrg/1/0/800w-wuPmQmAm3fE.jpg,true,0016_EAFRMrp6nrg.jpg,biology/images/0016_EAFRMrp6nrg.jpg,2026-08-06T10:03:15.014Z
Biology,Science & Environment,Science,ocr,success,Science | LABORATORY,EAFRMvpcWkY,Blue Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMvpcWkY-blue-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMvpcWkY/1/0/800w-810qO9YA1FY.jpg,true,0021_EAFRMvpcWkY.jpg,biology/images/0021_EAFRMvpcWkY.jpg,2026-08-06T10:03:21.963Z
Biology,Technology & Electronics,Brain Tech,ocr,success,Brain Tech | Consulting,EAE0M6SJBCg,Blue Modern Brain Genius And Technology Smart Mind Business Logo Template,https://www.canva.com/templates/EAE0M6SJBCg-blue-modern-brain-genius-and-technology-smart-mind-business-logo-template/,https://template.canva.com/EAE0M6SJBCg/1/0/800w-FZgTyIYxsFA.jpg,false,0013_EAE0M6SJBCg.jpg,biology/images/0013_EAE0M6SJBCg.jpg,2026-08-06T10:03:14.591Z
Biology,Science & Environment,Biotech,ocr,success,Biotech | Artificial Intelligence Solution,EAEZEm8BgoA,Blue White Medical or Science Logo,https://www.canva.com/templates/EAEZEm8BgoA-blue-white-medical-or-science-logo/,https://template.canva.com/EAEZEm8BgoA/1/0/800w-NudVs9Z19yc.jpg,true,0022_EAEZEm8BgoA.jpg,biology/images/0022_EAEZEm8BgoA.jpg,2026-08-06T10:03:22.096Z
Biology,Graphic Design & Creative Services,Achn,ocr,success,ACHN,EAE9i4_06t4,Brown Elegant Lettering Badge Illustration Logo,https://www.canva.com/templates/EAE9i4_06t4-brown-elegant-lettering-badge-illustration-logo/,https://template.canva.com/EAE9i4_06t4/2/0/800w-2OylGJtv-Pc.jpg,false,0024_EAE9i4_06t4.jpg,biology/images/0024_EAE9i4_06t4.jpg,2026-08-06T10:03:22.393Z
Biology,Science & Environment,Manhattan,ocr,success,MANHATTAN | LABORATORY,EAEVPhwbcWQ,Cyan Minimal Laboratory Logo,https://www.canva.com/templates/EAEVPhwbcWQ-cyan-minimal-laboratory-logo/,https://template.canva.com/EAEVPhwbcWQ/1/0/800w-AO4OY6RNI7Q.jpg,true,0011_EAEVPhwbcWQ.jpg,biology/images/0011_EAEVPhwbcWQ.jpg,2026-08-06T10:03:14.311Z
Biology,Science & Environment,Hanover,ocr,success,HANOVER | AND TYKE,EAE7AoYwX1M,Green Dot Square Recipe,https://www.canva.com/templates/EAE7AoYwX1M-green-dot-square-recipe/,https://template.canva.com/EAE7AoYwX1M/1/0/800w-peKDVilb0ck.jpg,true,0015_EAE7AoYwX1M.jpg,biology/images/0015_EAE7AoYwX1M.jpg,2026-08-06T10:03:14.869Z
Biology,Science & Environment,Leaf Lab,ocr,success,LEAF LAB | EXPERIMENT,EAFNUpdR-6A,Green minimalist leaf lab logo,https://www.canva.com/templates/EAFNUpdR-6A-green-minimalist-leaf-lab-logo/,https://template.canva.com/EAFNUpdR-6A/1/0/800w-A5svinb_Llc.jpg,true,0003_EAFNUpdR-6A.jpg,biology/images/0003_EAFNUpdR-6A.jpg,2026-08-06T10:03:07.999Z
Biology,Graphic Design & Creative Services,Microscope,ocr,success,MICROSCOPE | ILLUSTRATION,EAFLuU3ur78,Green Minimalist Microscope Logo,https://www.canva.com/templates/EAFLuU3ur78-green-minimalist-microscope-logo/,https://template.canva.com/EAFLuU3ur78/1/0/800w-ASRhAnreWlU.jpg,true,0008_EAFLuU3ur78.jpg,biology/images/0008_EAFLuU3ur78.jpg,2026-08-06T10:03:08.708Z
Biology,Science & Environment,Wonderkids,ocr,success,Wonderkids | CHILDREN,EAFLu-KahUA,Green Pink Minimalist Wonderkids Logo,https://www.canva.com/templates/EAFLu-KahUA-green-pink-minimalist-wonderkids-logo/,https://template.canva.com/EAFLu-KahUA/1/0/800w-GVhEdpIwe-0.jpg,true,0027_EAFLu-KahUA.jpg,biology/images/0027_EAFLu-KahUA.jpg,2026-08-06T10:03:23.142Z
Biology,Science & Environment,Kidney Care,ocr,success,Kidney Care | Slogan Here,EAEzmxjMVn4,Kidney Care logo,https://www.canva.com/templates/EAEzmxjMVn4-kidney-care-logo/,https://template.canva.com/EAEzmxjMVn4/1/0/800w-tDQUn2Qc7mY.jpg,false,0006_EAEzmxjMVn4.jpg,biology/images/0006_EAEzmxjMVn4.jpg,2026-08-06T10:03:08.419Z
Biology,Technology & Electronics,Molecule,ocr,success,Molecule | NANO TECHNOLOGY,EAE14zqIY9k,"Letter M with Dot and Curve ,Circles shape connected, Molecule and Nano Technology logotype",https://www.canva.com/templates/EAE14zqIY9k-letter-m-with-dot-and-curve-circles-shape-connected-molecule-and-nano-technology-logotype/,https://template.canva.com/EAE14zqIY9k/1/0/800w-J5B37d-okBo.jpg,false,0012_EAE14zqIY9k.jpg,biology/images/0012_EAE14zqIY9k.jpg,2026-08-06T10:03:14.453Z
Biology,Science & Environment,Margarita,ocr,success,MARGARITA | LABORATORY,EAFHEzgfjbA,Minimal Microscope Logo,https://www.canva.com/templates/EAFHEzgfjbA-minimal-microscope-logo/,https://template.canva.com/EAFHEzgfjbA/1/0/800w-_vUe58o84Sk.jpg,true,0029_EAFHEzgfjbA.jpg,biology/images/0029_EAFHEzgfjbA.jpg,2026-08-06T10:03:27.249Z
Biology,Science & Environment,Chemical,ocr,success,Chemical | DANGER AREA,EAEn1mpl2eA,Minimalist Laboratory Chemical Area Logo,https://www.canva.com/templates/EAEn1mpl2eA-minimalist-laboratory-chemical-area-logo/,https://template.canva.com/EAEn1mpl2eA/1/0/800w-FHdE90AqrrA.jpg,true,0019_EAEn1mpl2eA.jpg,biology/images/0019_EAEn1mpl2eA.jpg,2026-08-06T10:03:21.686Z
Biology,Technology & Electronics,Murad Naser,ocr,success,SINCE | 2022 | MURAD NASER | LABORATORY,EAFR6KiczFs,Modern White Microscope Technology Logo,https://www.canva.com/templates/EAFR6KiczFs-modern-white-microscope-technology-logo/,https://template.canva.com/EAFR6KiczFs/1/0/800w-bW5H5EayKpI.jpg,true,0026_EAFR6KiczFs.jpg,biology/images/0026_EAFR6KiczFs.jpg,2026-08-06T10:03:22.853Z
Biology,Science & Environment,Science,ocr,success,Science,EAFRMlmDZv8,Orange Blue Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMlmDZv8-orange-blue-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMlmDZv8/1/0/800w-BmzERATXMp0.jpg,true,0025_EAFRMlmDZv8.jpg,biology/images/0025_EAFRMlmDZv8.jpg,2026-08-06T10:03:22.529Z
Biology,Science & Environment,Science,ocr,success,Science | LABORATORY,EAFRMoLJ0dk,Orange Brown Minimalist Science Laboratory Brain Logo,https://www.canva.com/templates/EAFRMoLJ0dk-orange-brown-minimalist-science-laboratory-brain-logo/,https://template.canva.com/EAFRMoLJ0dk/1/0/800w-blLzbgt2tmc.jpg,true,0010_EAFRMoLJ0dk.jpg,biology/images/0010_EAFRMoLJ0dk.jpg,2026-08-06T10:03:14.165Z
Biology,Science & Environment,Organic,ocr,success,Organic | SCIENCE,EAE48sTGoH8,Organic lab Logo Design Concept. Creative Lab with leaf Logo Template,https://www.canva.com/templates/EAE48sTGoH8-organic-lab-logo-design-concept-creative-lab-with-leaf-logo-template/,https://template.canva.com/EAE48sTGoH8/1/0/800w-oexWf73cG6Q.jpg,false,0018_EAE48sTGoH8.jpg,biology/images/0018_EAE48sTGoH8.jpg,2026-08-06T10:03:15.331Z
Biology,Science & Environment,Search Lab,ocr,success,SEARCH LAB,EAFRQhjJE1g,Pink blue minimalist search lab logo,https://www.canva.com/templates/EAFRQhjJE1g-pink-blue-minimalist-search-lab-logo/,https://template.canva.com/EAFRQhjJE1g/1/0/800w-RDTkrbRduSo.jpg,true,0020_EAFRQhjJE1g.jpg,biology/images/0020_EAFRQhjJE1g.jpg,2026-08-06T10:03:21.820Z
Biology,Science & Environment,Lab Bottle,ocr,success,Lab Bottle | EXPERIMENT,EAFP8jOjeRI,Purple blue minimalist lab bottle logo,https://www.canva.com/templates/EAFP8jOjeRI-purple-blue-minimalist-lab-bottle-logo/,https://template.canva.com/EAFP8jOjeRI/1/0/800w-dU9XA-JBSD8.jpg,true,0004_EAFP8jOjeRI.jpg,biology/images/0004_EAFP8jOjeRI.jpg,2026-08-06T10:03:08.141Z
Biology,Science & Environment,lab science,ocr,success,lab science,EAFQOpEvl68,Purple Creative Lab Science Logo,https://www.canva.com/templates/EAFQOpEvl68-purple-creative-lab-science-logo/,https://template.canva.com/EAFQOpEvl68/2/0/800w-4FYF0dS8yN0.jpg,true,0009_EAFQOpEvl68.jpg,biology/images/0009_EAFQOpEvl68.jpg,2026-08-06T10:03:08.841Z
Biology,Science & Environment,Simple Scientist,ocr,success,SIMPLE SCIENTIST | RESEARCH GROUP,EAET2VkwPLQ,Scientist Logo Template,https://www.canva.com/templates/EAET2VkwPLQ-scientist-logo-template/,https://template.canva.com/EAET2VkwPLQ/1/0/800w-eb0EAgaV4sc.jpg,true,0005_EAET2VkwPLQ.jpg,biology/images/0005_EAET2VkwPLQ.jpg,2026-08-06T10:03:08.288Z
Biology,Technology & Electronics,SpineTech,ocr,success,SpineTech | HEADACHE AND SPINE CENTER,EAE1SbuNqlE,"spine tech logo, creative spine clinic vector",https://www.canva.com/templates/EAE1SbuNqlE-spine-tech-logo-creative-spine-clinic-vector/,https://template.canva.com/EAE1SbuNqlE/1/0/800w-fSwdSegrv9c.jpg,false,0007_EAE1SbuNqlE.jpg,biology/images/0007_EAE1SbuNqlE.jpg,2026-08-06T10:03:08.568Z
